iter	Passed	Remaining
0	182	182267
1	345	172512
2	484	161133
3	574	143089
4	774	154194
5	1038	172001
6	1233	175014
7	1415	175581
8	1618	178184
9	1765	174769
10	1857	166994
11	1997	164427
12	2137	162316
13	2290	161299
14	2440	160229
15	2568	157941
16	2701	156183
17	2829	154368
18	2970	153383
19	3074	150655
20	3197	149055
21	3317	147481
22	3427	145605
23	3539	143920
24	3659	142735
25	3785	141816
26	3909	140884
27	4043	140351
28	4169	139616
29	4311	139409
30	4434	138615
31	4569	138240
32	4692	137500
33	4809	136638
34	4970	137055
35	5115	136982
36	5259	136900
37	5384	136312
38	5526	136171
39	5667	136026
40	5788	135386
41	5914	134915
42	6041	134458
43	6154	133726
44	6265	132966
45	6393	132589
46	6540	132620
47	6656	132025
48	6768	131372
49	6925	131588
50	7059	131362
51	7192	131130
52	7304	130509
53	7434	130247
54	7561	129919
55	7687	129595
56	7829	129537
57	7953	129177
58	8090	129035
59	8194	128384
60	8319	128073
61	8460	127992
62	8589	127745
63	8710	127384
64	8831	127038
65	8981	127108
66	9111	126887
67	9251	126804
68	9390	126707
69	9535	126689
70	9683	126701
71	9823	126619
72	9963	126522
73	10085	126207
74	10219	126042
75	10351	125850
76	10480	125630
77	10597	125268
78	10716	124940
79	10846	124738
80	10960	124351
81	11061	123831
82	11185	123575
83	11286	123076
84	11391	122622
85	11541	122660
86	11706	122852
87	11830	122606
88	11957	122392
89	12077	122116
90	12193	121799
91	12307	121469
92	12473	121650
93	12581	121264
94	12719	121172
95	12862	121122
96	13002	121044
97	13143	120975
98	13303	121074
99	13465	121188
100	13599	121049
101	13735	120928
102	13866	120758
103	14000	120618
104	14115	120317
105	14236	120068
106	14370	119932
107	14485	119643
108	14599	119338
109	14740	119263
110	14855	118975
111	14986	118821
112	15111	118621
113	15238	118436
114	15362	118225
115	15476	117940
116	15585	117622
117	15727	117553
118	15864	117449
119	15995	117300
120	16118	117094
121	16255	116988
122	16371	116731
123	16499	116564
124	16640	116481
125	16778	116383
126	16928	116365
127	17079	116351
128	17220	116269
129	17356	116156
130	17507	116137
131	17648	116054
132	17777	115889
133	17896	115662
134	18005	115366
135	18120	115120
136	18231	114843
137	18375	114777
138	18495	114564
139	18651	114573
140	18759	114289
141	18883	114098
142	19004	113895
143	19118	113646
